STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TOBS
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/18/10,0,70
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/21/10,0,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/22/10,0,69
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/23/10,0,68
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/24/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/26/10,,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/27/10,0,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/28/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/29/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/30/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/31/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/1/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/2/10,0.01,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/3/10,0.17,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/4/10,0.15,71
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/5/10,0.27,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/6/10,0.01,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/8/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/9/10,0.01,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/10/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/11/10,0.01,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/12/10,0.01,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/13/10,0,71
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/15/10,0,71
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/16/10,0.01,68
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/17/10,0,70
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/18/10,0,71
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/19/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/20/10,0.04,71
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/21/10,0.01,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/22/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/23/10,0.02,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/24/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/25/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/26/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/28/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/30/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/1/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/2/10,0.03,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/3/10,0.2,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/4/10,0.08,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/5/10,0.01,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/6/10,0,80
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/7/10,0.05,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/8/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/9/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/10/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/11/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/13/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/14/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/15/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/16/10,0.03,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/17/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/18/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/19/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/21/10,,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/22/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/23/10,0.05,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/24/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/25/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/26/10,0.02,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/27/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/28/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/29/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/30/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,5/31/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/1/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/2/10,0.01,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/3/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/4/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/5/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/6/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,6/7/10,0,77
