City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,graaff-reinet,0,ZA,1509175145,64,-32.25,24.53,45.95,4.03
89,venado tuerto,0,AR,1509175145,83,-33.75,-61.97,52.45,4.16
90,fukue,75,JP,1509171540,93,32.69,128.84,64.4,11.41
91,barentsburg,75,DE,1509173400,81,52.62,8.8,50.0,19.46
92,kapaa,75,US,1509173760,83,22.08,-159.32,75.2,8.05
93,mys shmidta,92,UA,1509175147,98,47.75,38.03,49.86,8.05
94,liverpool,75,GB,1509173400,93,53.41,-2.98,55.4,18.34
95,guangzhou,0,CN,1509172200,35,23.12,113.25,84.2,8.95
96,cayenne,40,GF,1509172200,100,4.93,-52.33,75.2,1.12
97,nemuro,75,JP,1509170400,71,43.32,145.57,53.6,13.87
98,kaitangata,0,NZ,1509175148,78,-46.23,169.75,54.77,8.05
99,waiuku,100,NZ,1509174000,88,-37.25,174.75,62.6,6.93
100,khatanga,76,RU,1509175149,81,71.97,102.5,3.94,11.1
101,baturaja,24,ID,1509175149,97,-4.13,104.17,84.74,6.31
102,araouane,0,ML,1509175149,40,18.9,-3.53,60.89,4.07
103,tuktoyaktuk,92,CA,1509175150,95,69.45,-133.04,28.53,11.9
104,hithadhoo,0,MV,1509175150,100,-0.6,73.08,82.71,4.07
105,saint-philippe,90,RE,1509172200,57,-21.36,55.77,82.4,5.82
106,port elizabeth,0,ZA,1509170400,62,-33.92,25.57,59.0,10.29
107,ruidoso,1,US,1509173700,84,33.33,-105.67,44.6,2.37
108,te anau,0,NZ,1509175151,66,-45.42,167.72,59.9,2.62
109,chokurdakh,48,RU,1509175151,73,70.63,147.92,3.65,10.89
110,cavalcante,80,BR,1509175152,67,-13.8,-47.46,71.91,3.29
111,mar del plata,20,AR,1509170400,93,-38.0,-57.56,51.8,2.24
112,bandarbeyla,88,SO,1509175152,100,9.49,50.81,77.0,7.83
113,hilo,90,US,1509174660,94,19.73,-155.09,71.6,3.36
114,okhotsk,44,RU,1509175153,100,59.38,143.3,21.92,3.62
115,sentyabrskiy,80,RU,1509175153,83,60.75,72.86,30.06,9.17
116,faanui,36,PF,1509175154,100,-16.48,-151.75,79.83,12.86
117,hofn,8,IS,1509175154,90,64.25,-15.21,45.54,11.12
118,angoche,24,MZ,1509175154,100,-16.23,39.91,80.06,9.28
119,tottori,75,JP,1509170400,82,35.5,134.23,66.2,10.29
120,yellowknife,90,CA,1509174300,93,62.46,-114.35,35.6,5.82
121,baldone,90,LV,1509173400,100,56.74,24.39,37.4,11.41
122,kharagpur,0,IN,1509175155,75,22.33,87.33,86.31,4.52
123,upernavik,88,GL,1509175156,100,72.79,-56.15,30.24,13.69
124,havre,1,US,1509173580,69,48.55,-109.68,37.4,11.41
125,marystown,92,CA,1509175156,100,47.17,-55.15,45.86,5.37
126,grand river south east,75,MU,1509170400,94,-20.29,57.78,75.2,10.29
127,prescott,1,US,1509173580,39,34.54,-112.47,48.2,8.05
128,sorland,75,NO,1509173400,69,67.67,12.69,39.2,17.22
129,leningradskiy,0,RU,1509175157,100,69.38,178.42,12.56,4.81
130,coquimbo,90,CL,1509170400,93,-29.95,-71.34,53.6,3.36
131,timbiras,0,BR,1509175158,67,-4.26,-43.94,81.18,5.53
132,belyy yar,0,RU,1509172200,51,53.6,91.39,37.4,2.24
133,lebu,92,CL,1509175158,100,-37.62,-73.65,53.73,20.4
134,changli,88,CN,1509175158,87,39.7,119.15,61.97,15.99
135,baykit,88,RU,1509175159,81,61.67,96.37,25.97,6.93
136,port alfred,44,ZA,1509175159,91,-33.59,26.89,60.66,7.87
137,kyaikto,0,MM,1509175159,81,17.3,97.02,87.62,1.23
138,rolim de moura,32,BR,1509175160,94,-11.5,-61.47,74.57,2.06
139,bredasdorp,0,ZA,1509170400,48,-34.53,20.04,60.8,18.34
140,cape town,0,ZA,1509171360,51,-33.93,18.42,62.6,4.7
141,puerto ayora,48,EC,1509175160,100,-0.74,-90.35,66.33,8.66
142,sibolga,32,ID,1509175161,99,1.74,98.78,75.78,2.35
143,ribeira brava,20,PT,1509174000,33,32.65,-17.07,71.6,5.82
144,ancud,92,CL,1509175161,97,-41.87,-73.82,45.14,9.17
145,slave lake,1,CA,1509174000,70,55.28,-114.77,32.0,3.36
146,lolua,75,FI,1509173400,100,60.21,24.65,37.4,12.75
147,broome,0,AU,1509174000,66,-17.97,122.23,87.8,16.11
148,vaitupu,90,BO,1509170400,88,-17.8,-63.17,75.2,4.7
149,saleaula,40,IN,1509174000,45,17.31,78.48,87.8,5.82
150,marathon,90,US,1509174840,69,24.71,-81.09,78.8,11.41
151,hovd,0,MN,1509175163,74,48.01,91.64,28.58,4.29
152,anito,32,PH,1509175163,100,12.45,125.29,81.59,8.66
153,nuuk,88,GL,1509173400,100,64.18,-51.72,37.4,2.24
154,saraland,1,US,1509173760,93,30.82,-88.07,68.0,7.05
155,fairbanks,90,US,1509173880,86,64.84,-147.72,37.4,11.41
156,fort nelson,20,CA,1509174000,93,58.81,-122.7,37.4,2.24
157,banjar,20,ID,1509172200,62,-8.19,114.97,89.6,13.87
158,castro,76,BR,1509175129,96,-24.79,-50.01,65.12,11.45
159,mayo,1,US,1509173760,81,38.89,-76.51,60.8,5.82
160,severo-kurilsk,56,RU,1509175165,90,50.68,156.12,40.91,12.57
161,yumen,0,CN,1509175166,61,40.28,97.2,37.85,13.09
162,katsuura,75,JP,1509172200,82,35.13,140.3,60.8,10.29
163,tuatapere,0,NZ,1509175166,82,-46.13,167.68,55.94,7.16
164,tekeli,48,KZ,1509175167,45,44.83,78.82,55.71,3.62
165,jiangyou,56,CN,1509175167,66,31.77,104.72,66.08,7.29
166,bulawayo,90,ZW,1509170400,82,-20.15,28.58,55.4,23.04
167,suda,80,RU,1509175167,96,59.15,37.56,29.43,8.84
168,sakakah,0,SA,1509170400,12,29.97,40.21,78.8,18.34
169,nizhneyansk,20,RU,1509172200,85,55.64,51.82,21.2,3.91
170,prince rupert,90,CA,1509174000,93,54.32,-130.32,46.4,3.36
171,kavieng,48,PG,1509175169,100,-2.57,150.8,83.03,2.84
172,dauphin,90,CA,1509174000,100,51.15,-100.05,30.2,3.36
173,bow island,1,CA,1509174000,65,49.87,-111.37,41.0,9.17
174,presidencia roque saenz pena,20,AR,1509175170,83,-26.79,-60.44,59.31,7.27
175,yulara,0,AU,1509174000,11,-25.24,130.99,95.0,10.29
176,kodiak,1,US,1509173580,100,57.79,-152.41,35.6,4.7
177,half moon bay,90,US,1509173760,100,37.46,-122.43,62.6,9.17
178,sao jose da coroa grande,92,BR,1509175171,100,-8.9,-35.15,74.75,9.28
179,grindavik,20,IS,1509172200,87,63.84,-22.43,46.4,17.22
180,vila velha,20,BR,1509170400,78,-20.33,-40.29,77.0,13.87
181,sun valley,1,US,1509173700,50,39.6,-119.78,51.8,1.9
182,illoqqortoormiut,75,PT,1509174000,82,38.53,-28.64,62.6,5.82
183,parabel,88,RU,1509175173,86,58.7,81.48,29.39,8.16
